Month:Day:Hr:Min:Sec:MSec,Packet number,Element 1, Element 2, Element 3, Element 4
9:30:16:0:20:351,1112,0.2530571,0.7238312,-0.6337414,-0.1019919
9:30:16:0:20:410,1119,0.253001,0.7236621,-0.6339368,-0.102116
9:30:16:0:20:470,1126,0.2529922,0.7234539,-0.634159,-0.1022345
9:30:16:0:20:529,1134,0.2529358,0.7232231,-0.6344148,-0.1024195
9:30:16:0:20:648,1146,0.2528145,0.7226759,-0.6350271,-0.102786
9:30:16:0:20:707,1154,0.2528051,0.7223439,-0.6353696,-0.1030263
9:30:16:0:20:766,1161,0.2527494,0.7219317,-0.6358101,-0.1033336
9:30:16:0:20:825,1168,0.2527517,0.7217554,-0.6359993,-0.1033957
9:30:16:0:20:885,1175,0.2526874,0.721624,-0.6361741,-0.1033943
9:30:16:0:20:944,1182,0.2526231,0.7214925,-0.636349,-0.103393
9:30:16:0:21:3,1189,0.2525707,0.7215173,-0.6363708,-0.1032134
9:30:16:0:21:72,1197,0.2525635,0.7213747,-0.6365358,-0.1032105
9:30:16:0:21:132,1205,0.2524992,0.7212431,-0.6367105,-0.1032091
9:30:16:0:21:191,1212,0.2525021,0.7211904,-0.6367789,-0.1031493
9:30:16:0:21:250,1219,0.2524482,0.7209057,-0.6371022,-0.1032743
9:30:16:0:21:309,1227,0.252441,0.720763,-0.637267,-0.1032713
9:30:16:0:21:369,1233,0.2523864,0.7206594,-0.6374054,-0.103274
9:30:16:0:21:428,1240,0.2523792,0.7205166,-0.6375702,-0.103271
9:30:16:0:21:487,1247,0.252322,0.7202225,-0.6378852,-0.1035167
9:30:16:0:21:547,1255,0.2523229,0.7197976,-0.6383145,-0.1038222
9:30:16:0:21:606,1262,0.2523257,0.7197447,-0.6383829,-0.1037624
9:30:16:0:21:665,1269,0.2522609,0.7195508,-0.6386173,-0.1038219
9:30:16:0:21:724,1277,0.252263,0.7193738,-0.6388059,-0.1038838
9:30:16:0:21:784,1284,0.2521965,0.7191751,-0.6390362,-0.1040036
9:30:16:0:21:853,1292,0.2521423,0.7188894,-0.6393587,-0.1041285
9:30:16:0:21:912,1298,0.2521424,0.7186455,-0.639603,-0.1043116
9:30:16:0:21:971,1305,0.2520778,0.7185133,-0.6397771,-0.1043102
9:30:16:0:22:31,1312,0.2520704,0.7183701,-0.6399414,-0.1043071
9:30:16:0:22:90,1320,0.2520736,0.7183793,-0.6399496,-0.1041864
9:30:16:0:22:149,1327,0.2520196,0.7181553,-0.6402117,-0.1042503
9:30:16:0:22:208,1334,0.2519546,0.7179608,-0.6404456,-0.1043097
9:30:16:0:22:327,1348,0.2518907,0.7177085,-0.6407436,-0.1043696
9:30:16:0:22:386,1355,0.2518939,0.7177177,-0.6407518,-0.1042488
9:30:16:0:22:446,1362,0.2518288,0.717523,-0.6409856,-0.1043082
9:30:16:0:22:505,1370,0.2518402,0.7173113,-0.6411976,-0.104435
9:30:16:0:22:564,1377,0.2518327,0.7171677,-0.6413616,-0.1044318
9:30:16:0:22:623,1384,0.2517749,0.7168718,-0.6416751,-0.1046773
9:30:16:0:22:693,1393,0.2517779,0.7166362,-0.6419268,-0.1047396
